definition,noun,noun_synset,hypernym,hypernym_synset,hyponym,hyponym_synset,similarity_noun_hyponym_st,similarity_noun_hyponym_transE,similarity_noun_hyponym_rdf2vec,similarity_noun_hyponym_transE_new,similarity_noun_hypernym_st,similarity_noun_hypernym_transE,similarity_noun_hypernym_rdf2vec,similarity_noun_hypernym_transE_new
large gallinaceous bird with fan-shaped tail; widely domesticated for food,turkey,oewn-01796799-n,domestic fowl,oewn-01792381-n,turkey cock,oewn-01796985-n,0.40610433,0.33022188725002805,0.9738922715187072,0.39076863319590516,0.58986926,0.5586767622116082,0.9569481015205384,0.39265522554918886
any of various burrowing animals of the family Leporidae having long ears and short tails; some domesticated and raised for pets or food,rabbit,oewn-02326697-n,leporid,oewn-02326554-n,rabbit ears,oewn-02327083-n,0.6492484,0.34895929393118535,0.9749860763549804,0.43650963595936254,0.6848812,0.5084905520943126,0.9529933333396912,0.4371708150656436
any of numerous small rodents typically resembling diminutive rats having pointed snouts and small ears on elongated bodies with slender usually hairless tails,mouse,oewn-02332897-n,rodent,oewn-02332053-n,house mouse,oewn-02334808-n,0.5380292,0.49007644224786456,0.9710091948509216,0.5714452632428998,0.53287065,0.49648529586241935,0.8223829865455627,0.2978789830982954
any of various long-tailed rodents similar to but larger than a mouse,rat,oewn-02333698-n,rodent,oewn-02332053-n,pocket rat,oewn-02333961-n,0.6421474,0.2925465887716493,0.9306893944740297,0.4215803643233976,0.38402113,0.41978076379595824,0.8168999552726746,0.513641388522016
short-tailed Old World burrowing rodent with large cheek pouches,hamster,oewn-02345537-n,rodent,oewn-02332053-n,Eurasian hamster,oewn-02345710-n,0.479638,0.344162328848547,0.9953567385673524,0.4874511648202216,0.5467086,0.4516908955334025,0.96085524559021,0.4131739536409305
domestic beast of burden descended from the African wild ass; patient but stubborn,donkey,oewn-02392211-n,ass,oewn-02391998-n,burro,oewn-02392431-n,0.5834495,0.4784031856650322,0.98166161775589,0.4582636723681625,0.4530962,0.4759371368242378,0.9798864126205444,0.47749151237786774
any of several large humped bovids having shaggy manes and large heads and short horns,bison,oewn-02413155-n,bovid,oewn-02403683-n,American bison,oewn-02413348-n,0.7693515,0.41334266293835964,0.9707764387130736,0.4269041875494821,0.52588636,0.4969693307819963,0.981624960899353,0.360503847794538
distinguished from Bovidae by the male's having solid deciduous antlers,deer,oewn-02432691-n,ruminant,oewn-02401652-n,pricket,oewn-02433394-n,0.54289013,0.5600675439789174,0.7635359764099121,0.5225855539572152,0.3565184,0.39122262672444885,0.8819393515586853,0.32939637316894277
Arctic deer with large antlers in both sexes; called ‘reindeer’ in Eurasia and ‘caribou’ in North America,reindeer,oewn-02436556-n,deer,oewn-02432691-n,woodland caribou,oewn-02436821-n,0.65013695,0.481281099070704,0.98204106092453,0.4513461238763821,0.6546234,0.5761795895784603,0.9607601165771484,0.45529097539229213
"graceful Old World ruminant with long legs and horns directed upward and backward; includes gazelles, springboks, impalas, addax, gerenuks, blackbucks, dik-diks",antelope,oewn-02422442-n,bovid,oewn-02403683-n,blackbuck,oewn-02423155-n,0.67311674,0.4091759276688967,0.7781783938407898,0.3962477070598465,0.43727705,0.3915138385476181,0.683859646320343,0.5748746013642104
small swift graceful antelope of Africa and Asia having lustrous eyes,gazelle,oewn-02425668-n,antelope,oewn-02422442-n,Thomson's gazelle,oewn-02425864-n,0.54688156,0.4593477161994894,0.993135631084442,0.4208952451702555,0.5815087,0.2935494665950045,0.9768401384353638,0.4407169585686619
any of several fleet black-and-white striped African equines,zebra,oewn-02393701-n,equine,oewn-02376801-n,common zebra,oewn-02393886-n,0.61697066,0.5363529888860762,0.9749100208282472,0.38224797240434993,0.2768308,0.45518974317184946,0.9759279489517212,0.31166845592753795
tallest living quadruped; having a spotted coat and small horns and very long neck and legs; of savannahs of tropical Africa,giraffe,oewn-02441664-n,ruminant,oewn-02401652-n,okapi,oewn-02442029-n,0.59807014,0.4521152025719303,0.9764466881752014,0.5164988949003259,0.39565253,0.47410527617380105,0.9798290133476256,0.3659406984116321
five-toed pachyderm,elephant,oewn-02506148-n,proboscidean,oewn-02505758-n,rogue elephant,oewn-02506387-n,0.51614964,0.48006362346322307,0.9781343340873718,0.5830935144485778,0.38305143,0.4720462269960119,0.9739155173301696,0.4019381218698389
massive powerful herbivorous odd-toed ungulate of southeast Asia and Africa having very thick skin and one or two horns on the snout,rhinoceros,oewn-02394646-n,odd-toed ungulate,oewn-02375988-n,Indian rhinoceros,oewn-02395086-n,0.61836356,0.3027554554086132,0.9762362837791444,0.4366633293864301,0.57469785,0.23415003812735524,0.9160776138305664,0.3343214550210444
large gregarious predatory feline of Africa and India having a tawny coat with a shaggy mane in the male,lion,oewn-02131817-n,big cat,oewn-02130460-n,lion cub,oewn-01325389-n,0.6476811,-0.07650399274226105,0.9380552172660828,0.38239752934340665,0.43577266,0.48488972927808577,0.9613099098205566,0.44384440425344857
large feline of forests in most of Asia having a tawny coat with black stripes; endangered,tiger,oewn-02132256-n,big cat,oewn-02130460-n,tiger cub,oewn-01325559-n,0.5709271,0.51608613461559,0.9695974588394164,0.388061621907563,0.5200106,0.5055569126987663,0.9619069695472716,0.6001761145773902
large feline of African and Asian forests usually having a tawny coat with black spots,leopard,oewn-02131037-n,big cat,oewn-02130460-n,leopardess,oewn-02131250-n,0.6141091,0.3034766291236696,0.9840211868286132,0.5638295222512276,0.49919486,0.15851391474556112,0.9816027879714966,0.3538648206989754
massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong claws,bear,oewn-02134305-n,carnivore,oewn-02077948-n,bear cub,oewn-01325474-n,0.39496535,0.24366568080218248,0.885147750377655,0.3636150360738533,0.34280056,0.44708629840398545,0.8490250110626221,0.3298793176486861
any of various predatory carnivorous canine mammals of North America and Eurasia that usually hunt in packs,wolf,oewn-02116752-n,canine,oewn-02085998-n,wolf pup,oewn-01324999-n,0.53557575,0.49480553630364166,0.9457780718803406,0.4658161891296951,0.4896711,0.5331007982707565,0.9092793464660645,0.5204265679033366
alert carnivorous mammal with pointed muzzle and ears and a bushy tail; most are predators that do not hunt in packs,fox,oewn-02120985-n,canine,oewn-02085998-n,vixen,oewn-02121295-n,0.54318357,0.2892470360014876,0.9477007985115052,0.4318063239675706,0.519289,0.4824892941734366,0.8720607757568359,0.4646074411004198
small wolf native to western North America,coyote,oewn-02117507-n,wolf,oewn-02116752-n,coydog,oewn-02117664-n,0.5632275,0.43978469993418695,0.9847534894943236,0.3257856034001593,0.55039704,0.5241475437333194,0.9786837100982666,0.3889947619030622
doglike nocturnal mammal of Africa and southern Asia that feeds chiefly on carrion,hyena,oewn-02119787-n,canine,oewn-02085998-n,striped hyena,oewn-02120164-n,0.4733598,0.3212550792587252,0.9614357948303224,0.5259812657915519,0.3236845,0.42462647099945133,0.9554323554039,0.2723551355336142
any of various long-tailed primates (excluding the prosimians),monkey,oewn-02486953-n,primate,oewn-02472545-n,Old World monkey,oewn-02487104-n,0.65227294,0.44082924829257025,0.9005181193351746,0.633101244411509,0.5553361,0.3999454688934779,0.844566285610199,0.5432596736257744
largest anthropoid ape; terrestrial and vegetarian; of forests of central west Africa,gorilla,oewn-02483486-n,great ape,oewn-02482784-n,western lowland gorilla,oewn-02483734-n,0.6071212,0.4871661080086352,0.9650514125823976,0.5158753497605993,0.62733793,0.5501363586031083,0.9687883853912354,0.36939239781472955
intelligent somewhat arboreal ape of equatorial African forests,chimpanzee,oewn-02484454-n,great ape,oewn-02482784-n,western chimpanzee,oewn-02484691-n,0.44712847,0.5370043143739074,0.9679840207099916,0.5404165463342121,0.6247257,0.4632226799025666,0.9630172252655028,0.5952900436793965
large terrestrial monkeys having doglike muzzles,baboon,oewn-02489041-n,Old World monkey,oewn-02487104-n,chacma,oewn-02489288-n,0.53496754,0.36381120071131523,0.9858604073524476,0.5292212721725714,0.56934834,0.45987836600874415,0.974248468875885,0.46722044227147685
large-eyed arboreal prosimian having foxy faces and long furry tails,lemur,oewn-02499544-n,primate,oewn-02472545-n,Madagascar cat,oewn-02500304-n,0.58773875,0.3312502585926894,0.918659210205078,0.2505678317394671,0.5514673,0.5403953006063436,0.8645211458206177,0.5323366869275374
any of several herbivorous leaping marsupials of Australia and New Guinea having large powerful hind legs and a long thick tail,kangaroo,oewn-01879775-n,marsupial,oewn-01877075-n,giant kangaroo,oewn-01880247-n,0.6097852,0.23904674897863895,0.972640097141266,0.4397784417412398,0.27072012,0.379249719812411,0.8986507654190063,0.407156213109342
any of various small or medium-sized kangaroos; often brightly colored,wallaby,oewn-01880453-n,kangaroo,oewn-01879775-n,common wallaby,oewn-01880702-n,0.5732378,0.4577701447652143,0.9598547220230104,0.45551125203613885,0.53281856,0.46503659980201373,0.9628211855888368,0.39929371408409436
any of several slow-moving arboreal mammals of South America and Central America; they hang from branches back downward and feed on leaves and fruits,sloth,oewn-02459593-n,edentate,oewn-02456242-n,three-toed sloth,oewn-02460039-n,0.24627614,0.37156613540257344,0.97977477312088,0.37119044437036086,0.3807854,0.4217922702035391,0.9663070440292358,0.30221828272011675
freshwater carnivorous mammal having webbed and clawed feet and dark brown fur,otter,oewn-02447450-n,musteline mammal,oewn-02443957-n,river otter,oewn-02447635-n,0.58714926,0.45255606817130234,0.9808228015899658,0.3978330924631021,0.6318856,0.3055145705822078,0.9786331057548524,0.39883443154880777
large semiaquatic rodent with webbed hind feet and a broad flat tail; construct complex dams and underwater lodges,beaver,oewn-02365657-n,rodent,oewn-02332053-n,Old World beaver,oewn-02365897-n,0.6383989,0.40770996570202456,0.9897484183311462,0.442813468263835,0.41104093,0.574942453357308,0.9706315398216248,0.4594421054520695
a kind of arboreal rodent having a long bushy tail,squirrel,oewn-02357879-n,rodent,oewn-02332053-n,tree squirrel,oewn-02358129-n,0.7415066,0.3953548016729789,0.8549317121505737,0.6263641053952328,0.30419353,0.3887021640083629,0.8437038064002991,0.2980574114385301
relatively large rodents with sharp erectile bristles mingled with the fur,hedgehog,oewn-02349279-n,rodent,oewn-02332053-n,Old World porcupine,oewn-02349650-n,0.32988894,0.4623639697023317,0.9785518050193788,0.48224739925904136,0.5845567,0.3071074519292759,0.9059025645256042,0.3947997140904612
nocturnal mouselike mammal with forelimbs modified to form membranous wings and anatomical adaptations for echolocation by which they navigate,bat,oewn-02141851-n,placental,oewn-01889397-n,fruit bat,oewn-02142323-n,0.3156609,0.4270020237078956,0.9366257786750792,0.5184365361865327,0.27193657,0.3330675632118084,0.9003771543502808,0.3228908583588785
large slender food and game fish widely distributed in warm seas (especially around Hawaii),dolphin,oewn-02584588-n,percoid fish,oewn-02557361-n,Coryphaena hippurus,oewn-02584851-n,0.73816127,0.4524210376467026,0.9846251606941224,0.46294262975400846,0.4715069,0.4099257044784827,0.9744676947593688,0.5021910284216988
any of the larger cetacean mammals having a streamlined body and breathing through a blowhole on the head,whale,oewn-02065397-n,cetacean,oewn-02065083-n,baleen whale,oewn-02065877-n,0.64142835,0.37303286204382197,0.9794136881828308,0.38029802246309347,0.69617665,0.44573252936136054,0.9314016103744508,0.46757027600031026
any of numerous elongate mostly marine carnivorous fishes with heterocercal caudal fins and tough skin covered with small toothlike scales,shark,oewn-01484971-n,elasmobranch,oewn-01484712-n,cow shark,oewn-01485662-n,0.60380584,0.3934660129632342,0.8893485069274902,0.47164556785009604,0.7969416,0.3779168710457693,0.9616464972496032,0.3342956238578335
any of numerous marine mammals that come on shore to breed; chiefly of cold regions,seal,oewn-02078848-n,pinniped mammal,oewn-02078579-n,crabeater seal,oewn-02079054-n,0.55332285,0.46690272813147776,0.9955869317054749,0.46416168336396346,0.2449865,0.394571240052705,0.9741885662078856,0.48647867804390915
either of two large northern marine mammals having ivory tusks and tough hide over thick blubber,walrus,oewn-02084223-n,pinniped mammal,oewn-02078579-n,Atlantic walrus,oewn-02084450-n,0.6518792,0.3617915892303964,0.9862251877784728,0.4544240695300321,0.32348824,0.4313037753162091,0.9690207242965698,0.424707752621423
widely distributed fast-moving ten-armed cephalopod mollusk having a long tapered body with triangular tail fins,squid,oewn-01973921-n,decapod,oewn-01973735-n,loligo,oewn-01974261-n,0.6776117,0.47188417463195437,0.9778080582618712,0.5776088390949724,0.6226661,0.5032405199652211,0.9927850365638732,0.5288689780014808
decapod having eyes on short stalks and a broad flattened carapace with a small abdomen folded under the thorax and pincers,crab,oewn-01979598-n,decapod crustacean,oewn-01978787-n,stone crab,oewn-01980126-n,0.42116323,0.4906417018872332,0.9619975686073304,0.4986664309361433,0.5793891,0.3883251874604113,0.8106160759925842,0.5703038102987669
any of several edible marine crustaceans of the families Homaridae and Nephropsidae and Palinuridae,lobster,oewn-01985291-n,decapod crustacean,oewn-01978787-n,true lobster,oewn-01985689-n,0.7508037,0.3702524702685455,0.9823830723762512,0.4659081182692853,0.46467704,0.539283700455097,0.9559611082077026,0.39487994521909264
small slender-bodied chiefly marine decapod crustaceans with a long tail and single pair of pincers; many species are edible,shrimp,oewn-01989447-n,decapod crustacean,oewn-01978787-n,snapping shrimp,oewn-01989717-n,0.5910821,0.4509085083458915,0.9579635858535768,0.39673764366876635,0.3526449,0.4738052196704894,0.9648335576057434,0.3998359274492164
burrowing marine mollusk living on sand or mud; the shell closes with viselike firmness,clam,oewn-01959122-n,bivalve,oewn-01958574-n,soft-shell clam,oewn-01959976-n,0.53796184,0.4118848397329389,0.9881083965301514,0.5143678364254216,0.6238793,0.5053847187235488,0.9587780237197876,0.48105278158728415
marine mollusks having a rough irregular shell; found on the sea bed mostly in coastal waters,oyster,oewn-01963100-n,bivalve,oewn-01958574-n,seed oyster,oewn-01963428-n,0.42787838,0.49795332831553224,0.9596022367477416,0.42062985853764345,0.66548836,0.5448581610179138,0.8215036392211914,0.4080847172215577
freshwater or marine or terrestrial gastropod mollusk usually having an external enclosing spiral shell,snail,oewn-01947031-n,gastropod,oewn-01944818-n,scorpion shell,oewn-01946182-n,0.39542192,0.44182537545044454,0.9764318466186525,0.489399850028587,0.61076534,0.43105708986121827,0.9728724360466005,0.3588610570209919
diurnal insect typically having a slender body with knobbed antennae and broad colorful wings,butterfly,oewn-02276911-n,lepidopterous insect,oewn-02276676-n,nymphalid,oewn-02277474-n,0.6648993,0.5408391555370948,0.8951793909072876,0.4547665040400917,0.69208175,0.40622016220011825,0.951681673526764,0.5887302915036897
typically crepuscular or nocturnal insect having a stout body and feathery or hairlike antennae,moth,oewn-02285853-n,lepidopterous insect,oewn-02276676-n,moth miller,oewn-02286269-n,0.5017555,0.25867815095050645,0.9358510375022888,0.4501510338246548,0.6277182,0.37701320484346224,0.8776159286499023,0.30913110609588734
any of numerous hairy-bodied insects including social and solitary species,bee,oewn-02209508-n,hymenopterous insect,oewn-02208922-n,drone,oewn-02209831-n,0.4904378,0.42069355587108487,0.951842725276947,0.3518609414105754,0.42265034,0.4611150197113753,0.8250753879547119,0.49207072597554835
social or solitary hymenopterans typically having a slender body with the abdomen attached by a narrow stalk and having a formidable sting,wasp,oewn-02214714-n,hymenopterous insect,oewn-02208922-n,vespid,oewn-02215254-n,0.67964745,0.40240057991066014,0.9889954328536988,0.5185669342142671,0.599404,0.34406621521963493,0.8961775898933411,0.5166337555931347
social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers,ant,oewn-02222138-n,hymenopterous insect,oewn-02208922-n,pharaoh ant,oewn-02222707-n,0.4377052,0.30149416365095755,0.900814175605774,0.44298508110281715,0.4510636,0.5522833496135181,0.8857007622718811,0.4386891508056297
insect having biting mouthparts and front wings modified to form horny covers overlying the membranous rear wings,beetle,oewn-02167116-n,insect,oewn-02162607-n,tiger beetle,oewn-02167757-n,0.4462748,0.49596120324780923,0.7694084048271179,0.5172434779705182,0.31139493,0.5340662646346606,0.5389043688774109,0.405799740464541
small round bright-colored and spotted beetle that usually feeds on aphids and other insect pests,ladybug,oewn-02168108-n,beetle,oewn-02167116-n,two-spotted ladybug,oewn-02168529-n,0.7031456,0.5403390649991359,0.9894952774047852,0.40901527093646467,0.56881636,0.46634930982575484,0.9415265917778016,0.593969882283182
two-winged insect whose female has a long proboscis to pierce the skin and suck the blood of humans and animals,mosquito,oewn-02202850-n,dipterous insect,oewn-02191351-n,gnat,oewn-02203282-n,0.44523805,0.379418558000407,0.9766790866851808,0.6555653969358226,0.57530415,0.3713932031569063,0.8693527579307556,0.41264863090887016
two-winged insects characterized by active flight,fly,oewn-02192818-n,dipterous insect,oewn-02191351-n,housefly,oewn-02193442-n,0.30868015,0.41157026404523167,0.8642376661300659,0.43360035911182676,0.45603013,0.4788618731249274,0.8804359436035156,0.48019354027948496
"predatory arachnid with eight legs, two poison fangs, two feelers, and usually two silk-spinning organs at the back end of the body; they spin silk to make cocoons for eggs or traps for prey",spider,oewn-01774863-n,arachnid,oewn-01771988-n,orb-weaving spider,oewn-01775305-n,0.6161176,0.3909347871949331,0.7437567114830017,0.34739805270766677,0.2903008,0.4737061073522459,0.9635494351387024,0.4137769462212278
limbless scaly elongate reptile; some are venomous,snake,oewn-01729333-n,diapsid,oewn-01664459-n,colubrid snake,oewn-01730287-n,0.68693423,0.5824233720619317,0.9452162981033324,0.47341892585119666,0.35632062,0.5374007467775911,0.910650074481964,0.49744654529700855
large Old World boas,python,oewn-01746246-n,boa,oewn-01744584-n,carpet snake,oewn-01746577-n,0.59510946,0.3996687233856212,0.9745427370071412,0.4571808484000769,0.41231215,0.4729298494011833,0.938330352306366,0.44933853602323687
venomous Asiatic and African elapid snakes that can expand the skin of the neck into a hood,cobra,oewn-01750526-n,elapid,oewn-01747766-n,Indian cobra,oewn-01750905-n,0.71774715,0.35389283154599466,0.9575992226600648,0.49143775749644075,0.48050517,0.5449967196013297,0.9396799802780152,0.46886903096248006
venomous Old World snakes characterized by hollow venom-conducting fangs in the upper jaw,viper,oewn-01754806-n,snake,oewn-01729333-n,adder,oewn-01755226-n,0.3951386,0.372623006717114,0.94745671749115,0.30673528699064967,0.6543623,0.5016764940105363,0.9322681427001952,0.4680820770653764
relatively long-bodied reptile with usually two pairs of legs and a tapering tail,lizard,oewn-01677105-n,saurian,oewn-01676857-n,gecko,oewn-01677631-n,0.46178836,0.4733205081854198,0.9866620898246764,0.3956518729910949,0.6478691,0.5136479875601754,0.8119999766349792,0.387160039761565
any of various small chiefly tropical and usually nocturnal insectivorous terrestrial lizards typically with immovable eyelids; completely harmless,gecko,oewn-01677631-n,lizard,oewn-01677105-n,flying gecko,oewn-01677993-n,0.4618126,0.49963193699917874,0.9654632210731506,0.34156664932180064,0.46178836,0.4733205081854198,0.9866620898246764,0.3956518729910949
lizard of Africa and Madagascar able to change skin color and having a projectile tongue,chameleon,oewn-01696424-n,lizard,oewn-01677105-n,African chameleon,oewn-01696819-n,0.53936565,0.38417056433055097,0.9916342496871948,0.46753859888349336,0.5528942,0.5510598934957165,0.96988445520401,0.4366902336699965
large voracious aquatic reptile having a long snout with massive jaws and sharp teeth and a body covered with bony plates; of sluggish tropical waters,crocodile,oewn-01699819-n,crocodilian reptile,oewn-01699274-n,African crocodile,oewn-01700098-n,0.64345026,0.4714588364705334,0.9724119305610656,0.5329397635137404,0.45127276,0.29498841311607216,0.9858612418174744,0.37750731700321005
either of two amphibious reptiles related to crocodiles but with shorter broader snouts,alligator,oewn-01701075-n,crocodilian reptile,oewn-01699274-n,American alligator,oewn-01701281-n,0.5344613,0.4106758345155485,0.9708769917488098,0.5050669900803361,0.35418534,0.3680874456500302,0.9804492592811584,0.49480863915047896
any of various aquatic and land reptiles having a bony shell and flipper-like limbs for swimming,turtle,oewn-01665425-n,chelonian,oewn-01665263-n,sea turtle,oewn-01666042-n,0.7768996,0.37092166134839305,0.9789307117462158,0.5159988663815239,0.57651615,0.514387041554197,0.98053777217865,0.34112147661878034
usually herbivorous land turtles having clawed elephant-like limbs; worldwide in arid areas except Australia and Antarctica,tortoise,oewn-01672733-n,turtle,oewn-01665425-n,European tortoise,oewn-01673176-n,0.38872534,0.5043039568406554,0.9715209603309632,0.46470419886189634,0.5211799,0.4973425268434795,0.9831171035766602,0.3862944539054532
any of various tailless stout-bodied amphibians with long hind limbs for leaping; semiaquatic and terrestrial species,frog,oewn-01642406-n,amphibian,oewn-01630065-n,true frog,oewn-01643487-n,0.80097955,0.45733394187019577,0.9149572849273682,0.38642357500602376,0.35213903,0.5044688992254257,0.8811696171760559,0.4514135683344276
any of various tailless stout-bodied amphibians with long hind limbs for leaping; semiaquatic and terrestrial species,toad,oewn-01642406-n,amphibian,oewn-01630065-n,true frog,oewn-01643487-n,0.7237402,0.45733394187019577,0.9149572849273682,0.38642357500602376,0.42386466,0.5044688992254257,0.8811696171760559,0.4514135683344276
any of various typically terrestrial amphibians that resemble lizards and that return to water only to breed,salamander,oewn-01631917-n,amphibian,oewn-01630065-n,European fire salamander,oewn-01632460-n,0.21026653,0.39741990758488055,0.9075857400894164,0.45879536244579755,0.56945884,0.4463848724850323,0.856009304523468,0.40233976500947327
small usually bright-colored semiaquatic salamanders of North America and Europe and northern Asia,newt,oewn-01632925-n,salamander,oewn-01631917-n,common newt,oewn-01633311-n,0.82490903,0.3576736407609642,0.987769603729248,0.5319342027868803,0.56941986,0.3560938696389854,0.9724469780921936,0.3557131948197907
short-legged flightless birds of cold southern especially Antarctic regions having webbed feet and wings modified as flippers,penguin,oewn-02058457-n,sphenisciform seabird,oewn-02058312-n,Adelie,oewn-02058882-n,0.5908805,0.36623480647553086,0.9687517285346984,0.47976660160769014,0.7607782,0.5325143145419485,0.9601174592971802,0.5174167032582994
any of various large keen-sighted diurnal birds of prey noted for their broad wings and strong soaring flight,eagle,oewn-01615935-n,bird of prey,oewn-01606971-n,eaglet,oewn-01616448-n,0.63780606,0.4364830049310545,0.9630753397941588,0.460856434669169,0.5426898,0.3953261197379126,0.8997098803520203,0.5055070016485456
diurnal bird of prey typically having short rounded wings and a long tail,hawk,oewn-01608271-n,bird of prey,oewn-01606971-n,eyas,oewn-01608738-n,0.74761355,0.47961320336361457,0.8697857856750488,0.539748428857941,0.43368295,0.3754203670217367,0.711887776851654,0.3344852872620774
diurnal birds of prey having long pointed powerful wings adapted for swift flight,falcon,oewn-01613596-n,hawk,oewn-01608271-n,peregrine,oewn-01614113-n,0.70040935,0.4080024515878422,0.9577284455299376,0.40615470132087034,0.6573198,0.38471816236366585,0.8473284840583801,0.5354106000145005
nocturnal bird of prey with hawk-like beak and claws and large head with front-facing eyes,owl,oewn-01623768-n,bird of prey,oewn-01606971-n,owlet,oewn-01624276-n,0.69518465,0.49298641477258853,0.978851079940796,0.43041628081537975,0.51340216,0.34118023935372566,0.8787451982498169,0.3862672135844997
usually brightly colored zygodactyl tropical birds with short hooked beaks and the ability to mimic sounds,parrot,oewn-01819528-n,bird,oewn-01505702-n,popinjay,oewn-01819904-n,0.72260785,0.3764259741006557,0.8378133773803711,0.40666780778653927,0.5082405,0.42537822275954723,0.8354564905166626,0.3811830517177567
wild and domesticated birds having a heavy body and short legs,pigeon,oewn-01814550-n,columbiform bird,oewn-01813341-n,pouter pigeon,oewn-01814828-n,0.30975235,0.3634566742521404,0.8046707510948181,0.36037276738621604,0.5997671,0.5413196216071364,0.9581266045570374,0.4260281116570107
black birds having a raucous call,crow,oewn-01581669-n,corvine bird,oewn-01581216-n,American crow,oewn-01581790-n,0.36743617,0.41507661075387065,0.9862033724784852,0.5383890299690456,0.512422,0.4668944607314168,0.9675874710083008,0.2718967254580515
any of several small dull-colored singing birds feeding on seeds or insects,sparrow,oewn-01542214-n,passerine,oewn-01527000-n,English sparrow,oewn-01542566-n,0.44558096,0.3869338297164989,0.9531766176223756,0.43316845560465345,0.6429843,0.4659306170199299,0.9852846264839172,0.3733874331791524
mostly white aquatic bird having long pointed wings and short legs,seagull,oewn-02043900-n,larid,oewn-02043739-n,mew,oewn-02044332-n,0.47811025,0.5197037512839562,0.9384585618972778,0.6203975381474982,0.66255474,0.29108010737884554,0.9745911359786988,0.35420169236938454
stately heavy-bodied aquatic bird with very long neck and usually white plumage as adult,swan,oewn-01861082-n,aquatic bird,oewn-01847558-n,coscoroba,oewn-01860922-n,0.6466534,0.29570054854530187,0.9174246788024902,0.3921162460082513,0.51272017,0.4743898345671142,0.8511364459991455,0.5718187226301304
bird with strong claws and a stiff tail adapted for climbing and a hard chisel-like bill for boring into wood for insects,woodpecker,oewn-01841239-n,piciform bird,oewn-01840679-n,green woodpecker,oewn-01841727-n,0.3224341,0.3668901889985975,0.9167232513427734,0.5287484284821676,0.79410255,0.44921922714763096,0.8816381096839905,0.4834109471904176
large long-winged warm-water seabird having a large bill with a distensible pouch for fish,pelican,oewn-02054499-n,pelecaniform seabird,oewn-02054128-n,white pelican,oewn-02054858-n,0.6453606,0.36806650874838565,0.9904373288154602,0.4531275180276294,0.65872216,0.3810209130977798,0.9788831472396852,0.28100438317380144
