noun,noun_synset,definition,hypernym,hypernym_synset,hypernym_definition,hyponym,hyponym_synset,hyponym_definition
fox,oewn-02120985-n,alert carnivorous mammal with pointed muzzle and ears and a bushy tail; most are predators that do not hunt in packs,canine,oewn-02085998-n,any of various fissiped mammals with nonretractile claws and typically long muzzles,vixen,oewn-02121295-n,a female fox
coyote,oewn-02117507-n,small wolf native to western North America,wolf,oewn-02116752-n,any of various predatory carnivorous canine mammals of North America and Eurasia that usually hunt in packs,coydog,oewn-02117664-n,offspring of a coyote and a dog
hyena,oewn-02119787-n,doglike nocturnal mammal of Africa and southern Asia that feeds chiefly on carrion,canine,oewn-02085998-n,any of various fissiped mammals with nonretractile claws and typically long muzzles,striped hyena,oewn-02120164-n,of northern Africa and Arabia and India
monkey,oewn-02486953-n,any of various long-tailed primates (excluding the prosimians),primate,oewn-02472545-n,any placental mammal of the order Primates; has good eyesight and flexible hands and feet,Old World monkey,oewn-02487104-n,of Africa or Arabia or Asia; having nonprehensile tails and nostrils close together
gorilla,oewn-02483486-n,largest anthropoid ape; terrestrial and vegetarian; of forests of central west Africa,great ape,oewn-02482784-n,any of the large anthropoid apes of the family Pongidae,western lowland gorilla,oewn-02483734-n,the smallest subspecies of gorilla (Gorilla gorilla gorilla)
chimpanzee,oewn-02484454-n,intelligent somewhat arboreal ape of equatorial African forests,great ape,oewn-02482784-n,any of the large anthropoid apes of the family Pongidae,western chimpanzee,oewn-02484691-n,masked or pale-faced chimpanzees of western Africa; distantly related to the eastern and central chimpanzees; possibly a distinct species
baboon,oewn-02489041-n,large terrestrial monkeys having doglike muzzles,Old World monkey,oewn-02487104-n,of Africa or Arabia or Asia; having nonprehensile tails and nostrils close together,chacma,oewn-02489288-n,greyish baboon of southern and eastern Africa
lemur,oewn-02499544-n,large-eyed arboreal prosimian having foxy faces and long furry tails,primate,oewn-02472545-n,any placental mammal of the order Primates; has good eyesight and flexible hands and feet,Madagascar cat,oewn-02500304-n,small lemur having its tail barred with black
kangaroo,oewn-01879775-n,any of several herbivorous leaping marsupials of Australia and New Guinea having large powerful hind legs and a long thick tail,marsupial,oewn-01877075-n,mammals of which the females have a pouch (the marsupium) containing the teats where the young are fed and carried,giant kangaroo,oewn-01880247-n,very large greyish-brown Australian kangaroo formerly abundant in open wooded areas
wallaby,oewn-01880453-n,any of various small or medium-sized kangaroos; often brightly colored,kangaroo,oewn-01879775-n,any of several herbivorous leaping marsupials of Australia and New Guinea having large powerful hind legs and a long thick tail,common wallaby,oewn-01880702-n,a small wallaby having a height of 30 inches
sloth,oewn-02459593-n,any of several slow-moving arboreal mammals of South America and Central America; they hang from branches back downward and feed on leaves and fruits,edentate,oewn-02456242-n,primitive terrestrial mammal with few if any teeth; of tropical Central America and South America,three-toed sloth,oewn-02460039-n,a sloth that has three long claws on each forefoot and each hindfoot
otter,oewn-02447450-n,freshwater carnivorous mammal having webbed and clawed feet and dark brown fur,musteline mammal,oewn-02443957-n,fissiped fur-bearing carnivorous mammals,river otter,oewn-02447635-n,sociable aquatic animal widely distributed along streams and lake borders in North America
beaver,oewn-02365657-n,large semiaquatic rodent with webbed hind feet and a broad flat tail; construct complex dams and underwater lodges,rodent,oewn-02332053-n,relatively small placental mammals having a single pair of constantly growing incisor teeth specialized for gnawing,Old World beaver,oewn-02365897-n,a European variety of beaver
squirrel,oewn-02357879-n,a kind of arboreal rodent having a long bushy tail,rodent,oewn-02332053-n,relatively small placental mammals having a single pair of constantly growing incisor teeth specialized for gnawing,tree squirrel,oewn-02358129-n,any typical arboreal squirrel
hedgehog,oewn-02349279-n,relatively large rodents with sharp erectile bristles mingled with the fur,rodent,oewn-02332053-n,relatively small placental mammals having a single pair of constantly growing incisor teeth specialized for gnawing,Old World porcupine,oewn-02349650-n,terrestrial porcupine
bat,oewn-02141851-n,nocturnal mouselike mammal with forelimbs modified to form membranous wings and anatomical adaptations for echolocation by which they navigate,placental,oewn-01889397-n,mammals having a placenta; all mammals except monotremes and marsupials,fruit bat,oewn-02142323-n,large Old World bat of warm and tropical regions that feeds on fruit
dolphin,oewn-02584588-n,large slender food and game fish widely distributed in warm seas (especially around Hawaii),percoid fish,oewn-02557361-n,any of numerous spiny-finned fishes of the order Perciformes,Coryphaena hippurus,oewn-02584851-n,the more common dolphinfish valued as food; about six feet long
whale,oewn-02065397-n,any of the larger cetacean mammals having a streamlined body and breathing through a blowhole on the head,cetacean,oewn-02065083-n,"large aquatic carnivorous mammal with fin-like forelimbs no hind limbs, including: whales, dolphins, porpoises, narwhals",baleen whale,oewn-02065877-n,whale with plates of whalebone along the upper jaw for filtering plankton from the water
shark,oewn-01484971-n,any of numerous elongate mostly marine carnivorous fishes with heterocercal caudal fins and tough skin covered with small toothlike scales,elasmobranch,oewn-01484712-n,"any of numerous fishes of the class Chondrichthyes characterized by a cartilaginous skeleton and placoid scales: sharks, rays, skates",cow shark,oewn-01485662-n,large primitive shark widely distributed in warm seas
seal,oewn-02078848-n,any of numerous marine mammals that come on shore to breed; chiefly of cold regions,pinniped mammal,oewn-02078579-n,aquatic carnivorous mammal having a streamlined body specialized for swimming with limbs modified as flippers,crabeater seal,oewn-02079054-n,silvery grey Antarctic seal subsisting on crustaceans
walrus,oewn-02084223-n,either of two large northern marine mammals having ivory tusks and tough hide over thick blubber,pinniped mammal,oewn-02078579-n,aquatic carnivorous mammal having a streamlined body specialized for swimming with limbs modified as flippers,Atlantic walrus,oewn-02084450-n,a walrus of northern Atlantic and Arctic waters
squid,oewn-01973921-n,widely distributed fast-moving ten-armed cephalopod mollusk having a long tapered body with triangular tail fins,decapod,oewn-01973735-n,cephalopods having eight short tentacles plus two long ones,loligo,oewn-01974261-n,somewhat flattened cylindrical squid
crab,oewn-01979598-n,decapod having eyes on short stalks and a broad flattened carapace with a small abdomen folded under the thorax and pincers,decapod crustacean,oewn-01978787-n,crustaceans characteristically having five pairs of locomotor appendages each joined to a segment of the thorax,stone crab,oewn-01980126-n,large edible crab of the southern coast of the United States (particularly Florida)
lobster,oewn-01985291-n,any of several edible marine crustaceans of the families Homaridae and Nephropsidae and Palinuridae,decapod crustacean,oewn-01978787-n,crustaceans characteristically having five pairs of locomotor appendages each joined to a segment of the thorax,true lobster,oewn-01985689-n,large edible marine crustaceans having large pincers on the first pair of legs
shrimp,oewn-01989447-n,small slender-bodied chiefly marine decapod crustaceans with a long tail and single pair of pincers; many species are edible,decapod crustacean,oewn-01978787-n,crustaceans characteristically having five pairs of locomotor appendages each joined to a segment of the thorax,snapping shrimp,oewn-01989717-n,small shrimp that makes a snapping noise with one of their enlarged chelae
clam,oewn-01959122-n,burrowing marine mollusk living on sand or mud; the shell closes with viselike firmness,bivalve,oewn-01958574-n,marine or freshwater mollusks having a soft body with platelike gills enclosed within two shells hinged together,soft-shell clam,oewn-01959976-n,an edible clam with thin oval-shaped shell found in coastal regions of the United States and Europe
oyster,oewn-01963100-n,marine mollusks having a rough irregular shell; found on the sea bed mostly in coastal waters,bivalve,oewn-01958574-n,marine or freshwater mollusks having a soft body with platelike gills enclosed within two shells hinged together,seed oyster,oewn-01963428-n,a young oyster especially of a size for transplantation
snail,oewn-01947031-n,freshwater or marine or terrestrial gastropod mollusk usually having an external enclosing spiral shell,gastropod,oewn-01944818-n,a class of mollusks typically having a one-piece coiled shell and flattened muscular foot with a head bearing stalked eyes,scorpion shell,oewn-01946182-n,any of numerous tropical marine snails that as adults have the outer lip of the aperture produced into a series of long curved spines
butterfly,oewn-02276911-n,diurnal insect typically having a slender body with knobbed antennae and broad colorful wings,lepidopterous insect,oewn-02276676-n,insect that in the adult state has four wings more or less covered with tiny scales,nymphalid,oewn-02277474-n,medium to large butterflies found worldwide typically having brightly colored wings and much-reduced nonfunctional forelegs carried folded on the breast
moth,oewn-02285853-n,typically crepuscular or nocturnal insect having a stout body and feathery or hairlike antennae,lepidopterous insect,oewn-02276676-n,insect that in the adult state has four wings more or less covered with tiny scales,moth miller,oewn-02286269-n,any of various moths that have powdery wings
bee,oewn-02209508-n,any of numerous hairy-bodied insects including social and solitary species,hymenopterous insect,oewn-02208922-n,insects having two pairs of membranous wings and an ovipositor specialized for stinging or piercing,drone,oewn-02209831-n,stingless male bee in a colony of social bees (especially honeybees) whose sole function is to mate with the queen
wasp,oewn-02214714-n,social or solitary hymenopterans typically having a slender body with the abdomen attached by a narrow stalk and having a formidable sting,hymenopterous insect,oewn-02208922-n,insects having two pairs of membranous wings and an ovipositor specialized for stinging or piercing,vespid,oewn-02215254-n,mostly social nest-building wasps
ant,oewn-02222138-n,social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers,hymenopterous insect,oewn-02208922-n,insects having two pairs of membranous wings and an ovipositor specialized for stinging or piercing,pharaoh ant,oewn-02222707-n,small red ant of warm regions; a common household pest
beetle,oewn-02167116-n,insect having biting mouthparts and front wings modified to form horny covers overlying the membranous rear wings,insect,oewn-02162607-n,small air-breathing arthropod,tiger beetle,oewn-02167757-n,active usually bright-colored beetle that preys on other insects
ladybug,oewn-02168108-n,small round bright-colored and spotted beetle that usually feeds on aphids and other insect pests,beetle,oewn-02167116-n,insect having biting mouthparts and front wings modified to form horny covers overlying the membranous rear wings,two-spotted ladybug,oewn-02168529-n,red ladybug with a black spot on each wing
mosquito,oewn-02202850-n,two-winged insect whose female has a long proboscis to pierce the skin and suck the blood of humans and animals,dipterous insect,oewn-02191351-n,insects having usually a single pair of functional wings (anterior pair) with the posterior pair reduced to small knobbed structures and mouth parts adapted for sucking or lapping or piercing,gnat,oewn-02203282-n,(British usage) mosquito
fly,oewn-02192818-n,two-winged insects characterized by active flight,dipterous insect,oewn-02191351-n,insects having usually a single pair of functional wings (anterior pair) with the posterior pair reduced to small knobbed structures and mouth parts adapted for sucking or lapping or piercing,housefly,oewn-02193442-n,common fly that frequents human habitations and spreads many diseases
spider,oewn-01774863-n,"predatory arachnid with eight legs, two poison fangs, two feelers, and usually two silk-spinning organs at the back end of the body; they spin silk to make cocoons for eggs or traps for prey",arachnid,oewn-01771988-n,air-breathing arthropods characterized by simple eyes and four pairs of legs,orb-weaving spider,oewn-01775305-n,a spider that spins a circular (or near circular) web
snake,oewn-01729333-n,limbless scaly elongate reptile; some are venomous,diapsid,oewn-01664459-n,reptile having a pair of openings in the skull behind each eye,colubrid snake,oewn-01730287-n,mostly harmless temperate-to-tropical terrestrial or arboreal or aquatic snakes
python,oewn-01746246-n,large Old World boas,boa,oewn-01744584-n,any of several chiefly tropical constrictors with vestigial hind limbs,carpet snake,oewn-01746577-n,Australian python with a variegated pattern on its back
cobra,oewn-01750526-n,venomous Asiatic and African elapid snakes that can expand the skin of the neck into a hood,elapid,oewn-01747766-n,any of numerous venomous fanged snakes of warmer parts of both hemispheres,Indian cobra,oewn-01750905-n,a cobra of tropical Africa and Asia
viper,oewn-01754806-n,venomous Old World snakes characterized by hollow venom-conducting fangs in the upper jaw,snake,oewn-01729333-n,limbless scaly elongate reptile; some are venomous,adder,oewn-01755226-n,small terrestrial viper common in northern Eurasia
lizard,oewn-01677105-n,relatively long-bodied reptile with usually two pairs of legs and a tapering tail,saurian,oewn-01676857-n,any of various reptiles of the suborder Sauria which includes lizards; in former classifications included also the crocodiles and dinosaurs,gecko,oewn-01677631-n,any of various small chiefly tropical and usually nocturnal insectivorous terrestrial lizards typically with immovable eyelids; completely harmless
gecko,oewn-01677631-n,any of various small chiefly tropical and usually nocturnal insectivorous terrestrial lizards typically with immovable eyelids; completely harmless,lizard,oewn-01677105-n,relatively long-bodied reptile with usually two pairs of legs and a tapering tail,flying gecko,oewn-01677993-n,a gecko that has membranous expansions along the sides of its body and limbs and tail that enable it to glide short distances
chameleon,oewn-01696424-n,lizard of Africa and Madagascar able to change skin color and having a projectile tongue,lizard,oewn-01677105-n,relatively long-bodied reptile with usually two pairs of legs and a tapering tail,African chameleon,oewn-01696819-n,a chameleon found in Africa
crocodile,oewn-01699819-n,large voracious aquatic reptile having a long snout with massive jaws and sharp teeth and a body covered with bony plates; of sluggish tropical waters,crocodilian reptile,oewn-01699274-n,extant archosaurian reptile,African crocodile,oewn-01700098-n,a dangerous crocodile widely distributed in Africa
alligator,oewn-01701075-n,either of two amphibious reptiles related to crocodiles but with shorter broader snouts,crocodilian reptile,oewn-01699274-n,extant archosaurian reptile,American alligator,oewn-01701281-n,large alligator of the southeastern United States
turtle,oewn-01665425-n,any of various aquatic and land reptiles having a bony shell and flipper-like limbs for swimming,chelonian,oewn-01665263-n,a reptile of the order Chelonia,sea turtle,oewn-01666042-n,any of various large turtles with limbs modified into flippers; widely distributed in warm seas
tortoise,oewn-01672733-n,usually herbivorous land turtles having clawed elephant-like limbs; worldwide in arid areas except Australia and Antarctica,turtle,oewn-01665425-n,any of various aquatic and land reptiles having a bony shell and flipper-like limbs for swimming,European tortoise,oewn-01673176-n,small land tortoise of southern Europe
frog,oewn-01642406-n,any of various tailless stout-bodied amphibians with long hind limbs for leaping; semiaquatic and terrestrial species,amphibian,oewn-01630065-n,cold-blooded vertebrate typically living on land but breeding in water; aquatic larvae undergo metamorphosis into adult form,true frog,oewn-01643487-n,insectivorous usually semiaquatic web-footed amphibian with smooth moist skin and long hind legs
toad,oewn-01642406-n,any of various tailless stout-bodied amphibians with long hind limbs for leaping; semiaquatic and terrestrial species,amphibian,oewn-01630065-n,cold-blooded vertebrate typically living on land but breeding in water; aquatic larvae undergo metamorphosis into adult form,true frog,oewn-01643487-n,insectivorous usually semiaquatic web-footed amphibian with smooth moist skin and long hind legs
salamander,oewn-01631917-n,any of various typically terrestrial amphibians that resemble lizards and that return to water only to breed,amphibian,oewn-01630065-n,cold-blooded vertebrate typically living on land but breeding in water; aquatic larvae undergo metamorphosis into adult form,European fire salamander,oewn-01632460-n,a kind of European salamander
newt,oewn-01632925-n,small usually bright-colored semiaquatic salamanders of North America and Europe and northern Asia,salamander,oewn-01631917-n,any of various typically terrestrial amphibians that resemble lizards and that return to water only to breed,common newt,oewn-01633311-n,small semiaquatic salamander
penguin,oewn-02058457-n,short-legged flightless birds of cold southern especially Antarctic regions having webbed feet and wings modified as flippers,sphenisciform seabird,oewn-02058312-n,flightless cold-water seabirds: penguins,Adelie,oewn-02058882-n,medium-sized penguins occurring in large colonies on the Adelie Coast of Antarctica
eagle,oewn-01615935-n,any of various large keen-sighted diurnal birds of prey noted for their broad wings and strong soaring flight,bird of prey,oewn-01606971-n,any of numerous carnivorous birds that hunt and kill other animals,eaglet,oewn-01616448-n,a young eagle
hawk,oewn-01608271-n,diurnal bird of prey typically having short rounded wings and a long tail,bird of prey,oewn-01606971-n,any of numerous carnivorous birds that hunt and kill other animals,eyas,oewn-01608738-n,an unfledged or nestling hawk
falcon,oewn-01613596-n,diurnal birds of prey having long pointed powerful wings adapted for swift flight,hawk,oewn-01608271-n,diurnal bird of prey typically having short rounded wings and a long tail,peregrine,oewn-01614113-n,a widely distributed falcon formerly used in falconry
owl,oewn-01623768-n,nocturnal bird of prey with hawk-like beak and claws and large head with front-facing eyes,bird of prey,oewn-01606971-n,any of numerous carnivorous birds that hunt and kill other animals,owlet,oewn-01624276-n,young owl
parrot,oewn-01819528-n,usually brightly colored zygodactyl tropical birds with short hooked beaks and the ability to mimic sounds,bird,oewn-01505702-n,warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings,popinjay,oewn-01819904-n,an archaic term for a parrot
pigeon,oewn-01814550-n,wild and domesticated birds having a heavy body and short legs,columbiform bird,oewn-01813341-n,a cosmopolitan order of land birds having small heads and short legs with four unwebbed toes,pouter pigeon,oewn-01814828-n,one of a breed of pigeon that enlarge their crop until their breast is puffed out
crow,oewn-01581669-n,black birds having a raucous call,corvine bird,oewn-01581216-n,birds of the crow family,American crow,oewn-01581790-n,common crow of North America
sparrow,oewn-01542214-n,any of several small dull-colored singing birds feeding on seeds or insects,passerine,oewn-01527000-n,perching birds mostly small and living near the ground with feet having 4 toes arranged to allow for gripping the perch; most are songbirds; hatchlings are helpless,English sparrow,oewn-01542566-n,small hardy brown-and-grey bird native to Europe
seagull,oewn-02043900-n,mostly white aquatic bird having long pointed wings and short legs,larid,oewn-02043739-n,long-winged web-footed aquatic bird of the gull family,mew,oewn-02044332-n,the common gull of Eurasia and northeastern North America
swan,oewn-01861082-n,stately heavy-bodied aquatic bird with very long neck and usually white plumage as adult,aquatic bird,oewn-01847558-n,wading and swimming and diving birds of either fresh or salt water,coscoroba,oewn-01860922-n,large white South American bird intermediate in some respects between ducks and swans
woodpecker,oewn-01841239-n,bird with strong claws and a stiff tail adapted for climbing and a hard chisel-like bill for boring into wood for insects,piciform bird,oewn-01840679-n,any of numerous nonpasserine insectivorous climbing birds usually having strong bills for boring wood,green woodpecker,oewn-01841727-n,woodpecker of Europe and western Asia
pelican,oewn-02054499-n,large long-winged warm-water seabird having a large bill with a distensible pouch for fish,pelecaniform seabird,oewn-02054128-n,large fish-eating seabird with four-toed webbed feet,white pelican,oewn-02054858-n,large American pelican; white with black wing feathers
hen,oewn-01795281-n,adult female chicken,chicken,oewn-01794266-n,a domestic fowl bred for flesh or eggs; believed to have been developed from the red jungle fowl,cackler,oewn-01795449-n,a hen that has just laid an egg and emits a shrill squawk
rooster,oewn-01794799-n,adult male chicken,chicken,oewn-01794266-n,a domestic fowl bred for flesh or eggs; believed to have been developed from the red jungle fowl,cockerel,oewn-01795070-n,a young domestic cock; not older than one year
dove,oewn-01814978-n,any of numerous small pigeons,pigeon,oewn-01814550-n,wild and domesticated birds having a heavy body and short legs,turtledove,oewn-01816026-n,any of several Old World wild doves
canary,oewn-01535980-n,any of several small Old World finches,finch,oewn-01532313-n,any of numerous small songbirds with short stout bills adapted for crushing seeds,common canary,oewn-01536122-n,native to the Canary Islands and Azores; popular usually yellow cage bird noted for its song
goldfish,oewn-01446178-n,small golden or orange-red freshwater fishes of Eurasia used as pond or aquarium fishes,cyprinid,oewn-01441762-n,soft-finned mainly freshwater fishes typically having toothless jaws and cycloid scales,silverfish,oewn-01446377-n,a silvery variety of Carassius auratus
salmon,oewn-02537365-n,any of various large food and game fishes of northern waters; usually migrate from salt to fresh water to spawn,salmonid,oewn-02537190-n,soft-finned fishes of cold and temperate waters,blackfish,oewn-02537794-n,female salmon that has recently spawned
trout,oewn-02539716-n,any of various game and food fishes of cool fresh waters mostly smaller than typical salmons,salmonid,oewn-02537190-n,soft-finned fishes of cold and temperate waters,brown trout,oewn-02539950-n,speckled trout of European rivers; introduced in North America
tuna,oewn-02629392-n,any very large marine food and game fish of the genus Thunnus; related to mackerel; chiefly of warm waters,scombroid,oewn-02626075-n,important marine food and game fishes found in all tropical and temperate seas; some are at least partially endothermic and can thrive in colder waters,albacore,oewn-02629667-n,large pelagic tuna the source of most canned tuna; reaches 93 pounds and has long pectoral fins; found worldwide in tropical and temperate waters
cod,oewn-02525030-n,major food fish of Arctic and cold-temperate waters,gadoid,oewn-02524277-n,a soft-finned fish of the family Gadidae,codling,oewn-02525268-n,young codfish
sardine,oewn-02535233-n,any of various small edible herring or related food fishes frequently canned,clupeid fish,oewn-02532403-n,any of numerous soft-finned schooling food fishes of shallow waters of northern seas,sild,oewn-02535417-n,any of various young herrings (other than brislings) canned as sardines in Norway
anchovy,oewn-02536465-n,small herring-like plankton-eating fishes often canned whole or as paste; abundant in tropical waters worldwide,soft-finned fish,oewn-01431221-n,any fish of the superorder Malacopterygii,mediterranean anchovy,oewn-02536796-n,esteemed for its flavor; usually preserved or used for sauces and relishes
carp,oewn-01442155-n,any of various freshwater fish of the family Cyprinidae,cyprinid,oewn-01441762-n,soft-finned mainly freshwater fishes typically having toothless jaws and cycloid scales,domestic carp,oewn-01442449-n,large Old World freshwater bottom-feeding fish introduced into Europe from Asia; inhabits ponds and sluggish streams and often raised for food; introduced into United States where it has become a pest
seahorse,oewn-02084223-n,either of two large northern marine mammals having ivory tusks and tough hide over thick blubber,pinniped mammal,oewn-02078579-n,aquatic carnivorous mammal having a streamlined body specialized for swimming with limbs modified as flippers,Atlantic walrus,oewn-02084450-n,a walrus of northern Atlantic and Arctic waters
camel,oewn-02439767-n,cud-chewing mammal used as a draft or saddle animal in desert regions,even-toed ungulate,oewn-02397129-n,placental mammal having hooves with an even number of functional toes on each foot,Arabian camel,oewn-02439943-n,one-humped camel of the hot deserts of northern Africa and southwestern Asia
llama,oewn-02440247-n,wild or domesticated South American cud-chewing animal related to camels but smaller and lacking a hump,even-toed ungulate,oewn-02397129-n,placental mammal having hooves with an even number of functional toes on each foot,domestic llama,oewn-02440602-n,used in the Andes as a beast of burden and source of wool; considered a domesticated variety of the guanaco
meerkat,oewn-02141093-n,a mongoose-like viverrine of South Africa having a face like a lemur and only four toes,viverrine,oewn-02137623-n,small cat-like predatory mammals of warmer parts of the Old World,slender-tailed meerkat,oewn-02141299-n,a meerkat with a thin and elongated tail
